Date,Visitor/Neutral,Home/Neutral
Mon Dec 23 2019,Minnesota Timberwolves,Golden State Warriors
Mon Dec 23 2019,Toronto Raptors,Indiana Pacers
Mon Dec 23 2019,San Antonio Spurs,Memphis Grizzlies
Mon Dec 23 2019,Utah Jazz,Miami Heat
Mon Dec 23 2019,Washington Wizards,New York Knicks
Mon Dec 23 2019,Chicago Bulls,Orlando Magic
Mon Dec 23 2019,Denver Nuggets,Phoenix Suns
Mon Dec 23 2019,New Orleans Pelicans,Portland Trail Blazers
Mon Dec 23 2019,Houston Rockets,Sacramento Kings
Wed Dec 25 2019,New Orleans Pelicans,Denver Nuggets
Wed Dec 25 2019,Houston Rockets,Golden State Warriors
Wed Dec 25 2019,Los Angeles Clippers,Los Angeles Lakers
Wed Dec 25 2019,Milwaukee Bucks,Philadelphia 76ers
Wed Dec 25 2019,Boston Celtics,Toronto Raptors
Thu Dec 26 2019,New York Knicks,Brooklyn Nets
Thu Dec 26 2019,San Antonio Spurs,Dallas Mavericks
Thu Dec 26 2019,Washington Wizards,Detroit Pistons
Thu Dec 26 2019,Memphis Grizzlies,Oklahoma City Thunder
Thu Dec 26 2019,Minnesota Timberwolves,Sacramento Kings
Thu Dec 26 2019,Portland Trail Blazers,Utah Jazz
Fri Dec 27 2019,Milwaukee Bucks,Atlanta Hawks
Fri Dec 27 2019,Cleveland Cavaliers,Boston Celtics
Fri Dec 27 2019,Oklahoma City Thunder,Charlotte Hornets
Fri Dec 27 2019,Phoenix Suns,Golden State Warriors
Fri Dec 27 2019,Indiana Pacers,Miami Heat
Fri Dec 27 2019,Philadelphia 76ers,Orlando Magic
Sat Dec 28 2019,Toronto Raptors,Boston Celtics
Sat Dec 28 2019,Atlanta Hawks,Chicago Bulls
Sat Dec 28 2019,Memphis Grizzlies,Denver Nuggets
Sat Dec 28 2019,Dallas Mavericks,Golden State Warriors
Sat Dec 28 2019,Brooklyn Nets,Houston Rockets
Sat Dec 28 2019,Utah Jazz,Los Angeles Clippers
Sat Dec 28 2019,Philadelphia 76ers,Miami Heat
Sat Dec 28 2019,Orlando Magic,Milwaukee Bucks
Sat Dec 28 2019,Cleveland Cavaliers,Minnesota Timberwolves
Sat Dec 28 2019,Indiana Pacers,New Orleans Pelicans
Sat Dec 28 2019,Los Angeles Lakers,Portland Trail Blazers
Sat Dec 28 2019,Phoenix Suns,Sacramento Kings
Sat Dec 28 2019,Detroit Pistons,San Antonio Spurs
Sat Dec 28 2019,New York Knicks,Washington Wizards
Sun Dec 29 2019,Sacramento Kings,Denver Nuggets
Sun Dec 29 2019,Dallas Mavericks,Los Angeles Lakers
Sun Dec 29 2019,Charlotte Hornets,Memphis Grizzlies
Sun Dec 29 2019,Houston Rockets,New Orleans Pelicans
Sun Dec 29 2019,Oklahoma City Thunder,Toronto Raptors
Mon Dec 30 2019,Milwaukee Bucks,Chicago Bulls
Mon Dec 30 2019,Brooklyn Nets,Minnesota Timberwolves
Mon Dec 30 2019,Atlanta Hawks,Orlando Magic
Mon Dec 30 2019,Phoenix Suns,Portland Trail Blazers
Mon Dec 30 2019,Detroit Pistons,Utah Jazz
Mon Dec 30 2019,Miami Heat,Washington Wizards
Tue Dec 31 2019,Boston Celtics,Charlotte Hornets
Tue Dec 31 2019,Denver Nuggets,Houston Rockets
Tue Dec 31 2019,Philadelphia 76ers,Indiana Pacers
Tue Dec 31 2019,Dallas Mavericks,Oklahoma City Thunder
Tue Dec 31 2019,Los Angeles Clippers,Sacramento Kings
Tue Dec 31 2019,Golden State Warriors,San Antonio Spurs
Tue Dec 31 2019,Cleveland Cavaliers,Toronto Raptors
Wed Jan 1 2020,Phoenix Suns,Los Angeles Lakers
Wed Jan 1 2020,Minnesota Timberwolves,Milwaukee Bucks
Wed Jan 1 2020,Portland Trail Blazers,New York Knicks
Wed Jan 1 2020,Orlando Magic,Washington Wizards
Thu Jan 2 2020,Utah Jazz,Chicago Bulls
Thu Jan 2 2020,Charlotte Hornets,Cleveland Cavaliers
Thu Jan 2 2020,Brooklyn Nets,Dallas Mavericks
Thu Jan 2 2020,Denver Nuggets,Indiana Pacers
Thu Jan 2 2020,Detroit Pistons,Los Angeles Clippers
Thu Jan 2 2020,Toronto Raptors,Miami Heat
Thu Jan 2 2020,Golden State Warriors,Minnesota Timberwolves
Thu Jan 2 2020,Memphis Grizzlies,Sacramento Kings
Thu Jan 2 2020,Oklahoma City Thunder,San Antonio Spurs
Fri Jan 3 2020,Atlanta Hawks,Boston Celtics
Fri Jan 3 2020,Philadelphia 76ers,Houston Rockets
Fri Jan 3 2020,New Orleans Pelicans,Los Angeles Lakers
Fri Jan 3 2020,Miami Heat,Orlando Magic
Fri Jan 3 2020,New York Knicks,Phoenix Suns
Fri Jan 3 2020,Portland Trail Blazers,Washington Wizards
Sat Jan 4 2020,Indiana Pacers,Atlanta Hawks
Sat Jan 4 2020,Toronto Raptors,Brooklyn Nets
Sat Jan 4 2020,Boston Celtics,Chicago Bulls
Sat Jan 4 2020,Oklahoma City Thunder,Cleveland Cavaliers
Sat Jan 4 2020,Charlotte Hornets,Dallas Mavericks
Sat Jan 4 2020,Detroit Pistons,Golden State Warriors
Sat Jan 4 2020,Memphis Grizzlies,Los Angeles Clippers
Sat Jan 4 2020,San Antonio Spurs,Milwaukee Bucks
Sat Jan 4 2020,Utah Jazz,Orlando Magic
Sat Jan 4 2020,New Orleans Pelicans,Sacramento Kings
Sat Jan 4 2020,Denver Nuggets,Washington Wizards
Sun Jan 5 2020,Minnesota Timberwolves,Cleveland Cavaliers
Sun Jan 5 2020,New York Knicks,Los Angeles Clippers
Sun Jan 5 2020,Detroit Pistons,Los Angeles Lakers
Sun Jan 5 2020,Portland Trail Blazers,Miami Heat
Sun Jan 5 2020,Memphis Grizzlies,Phoenix Suns
Mon Jan 6 2020,Denver Nuggets,Atlanta Hawks
Mon Jan 6 2020,Indiana Pacers,Charlotte Hornets
Mon Jan 6 2020,Chicago Bulls,Dallas Mavericks
Mon Jan 6 2020,Utah Jazz,New Orleans Pelicans
Mon Jan 6 2020,Brooklyn Nets,Orlando Magic
Mon Jan 6 2020,Oklahoma City Thunder,Philadelphia 76ers
Mon Jan 6 2020,Golden State Warriors,Sacramento Kings
Mon Jan 6 2020,Milwaukee Bucks,San Antonio Spurs
Mon Jan 6 2020,Boston Celtics,Washington Wizards
Tue Jan 7 2020,Oklahoma City Thunder,Brooklyn Nets
Tue Jan 7 2020,Detroit Pistons,Cleveland Cavaliers
Tue Jan 7 2020,New York Knicks,Los Angeles Lakers
Tue Jan 7 2020,Minnesota Timberwolves,Memphis Grizzlies
Tue Jan 7 2020,Sacramento Kings,Phoenix Suns
Tue Jan 7 2020,Portland Trail Blazers,Toronto Raptors
Wed Jan 8 2020,Houston Rockets,Atlanta Hawks
Wed Jan 8 2020,San Antonio Spurs,Boston Celtics
Wed Jan 8 2020,Toronto Raptors,Charlotte Hornets
Wed Jan 8 2020,Denver Nuggets,Dallas Mavericks
Wed Jan 8 2020,Milwaukee Bucks,Golden State Warriors
Wed Jan 8 2020,Miami Heat,Indiana Pacers
Wed Jan 8 2020,Chicago Bulls,New Orleans Pelicans
Wed Jan 8 2020,Washington Wizards,Orlando Magic
Wed Jan 8 2020,New York Knicks,Utah Jazz
Thu Jan 9 2020,Cleveland Cavaliers,Detroit Pistons
Thu Jan 9 2020,Portland Trail Blazers,Minnesota Timberwolves
Thu Jan 9 2020,Houston Rockets,Oklahoma City Thunder
Thu Jan 9 2020,Boston Celtics,Philadelphia 76ers
Fri Jan 10 2020,Miami Heat,Brooklyn Nets
Fri Jan 10 2020,Indiana Pacers,Chicago Bulls
Fri Jan 10 2020,Los Angeles Lakers,Dallas Mavericks
Fri Jan 10 2020,Golden State Warriors,Los Angeles Clippers
Fri Jan 10 2020,San Antonio Spurs,Memphis Grizzlies
Fri Jan 10 2020,New Orleans Pelicans,New York Knicks
Fri Jan 10 2020,Orlando Magic,Phoenix Suns
Fri Jan 10 2020,Milwaukee Bucks,Sacramento Kings
Fri Jan 10 2020,Charlotte Hornets,Utah Jazz
Fri Jan 10 2020,Atlanta Hawks,Washington Wizards
Sat Jan 11 2020,New Orleans Pelicans,Boston Celtics
Sat Jan 11 2020,Philadelphia 76ers,Dallas Mavericks
Sat Jan 11 2020,Cleveland Cavaliers,Denver Nuggets
Sat Jan 11 2020,Chicago Bulls,Detroit Pistons
Sat Jan 11 2020,Minnesota Timberwolves,Houston Rockets
Sat Jan 11 2020,Los Angeles Lakers,Oklahoma City Thunder
Sat Jan 11 2020,Milwaukee Bucks,Portland Trail Blazers
Sun Jan 12 2020,Atlanta Hawks,Brooklyn Nets
Sun Jan 12 2020,Los Angeles Clippers,Denver Nuggets
Sun Jan 12 2020,Golden State Warriors,Memphis Grizzlies
Sun Jan 12 2020,Miami Heat,New York Knicks
Sun Jan 12 2020,Charlotte Hornets,Phoenix Suns
Sun Jan 12 2020,San Antonio Spurs,Toronto Raptors
Sun Jan 12 2020,Utah Jazz,Washington Wizards
Mon Jan 13 2020,Chicago Bulls,Boston Celtics
Mon Jan 13 2020,New Orleans Pelicans,Detroit Pistons
Mon Jan 13 2020,Philadelphia 76ers,Indiana Pacers
Mon Jan 13 2020,Cleveland Cavaliers,Los Angeles Lakers
Mon Jan 13 2020,Oklahoma City Thunder,Minnesota Timberwolves
Mon Jan 13 2020,Charlotte Hornets,Portland Trail Blazers
Mon Jan 13 2020,Orlando Magic,Sacramento Kings
Tue Jan 14 2020,Phoenix Suns,Atlanta Hawks
Tue Jan 14 2020,Utah Jazz,Brooklyn Nets
Tue Jan 14 2020,Dallas Mavericks,Golden State Warriors
Tue Jan 14 2020,Cleveland Cavaliers,Los Angeles Clippers
Tue Jan 14 2020,Houston Rockets,Memphis Grizzlies
Tue Jan 14 2020,New York Knicks,Milwaukee Bucks
Wed Jan 15 2020,Detroit Pistons,Boston Celtics
Wed Jan 15 2020,Washington Wizards,Chicago Bulls
Wed Jan 15 2020,Charlotte Hornets,Denver Nuggets
Wed Jan 15 2020,Portland Trail Blazers,Houston Rockets
Wed Jan 15 2020,Orlando Magic,Los Angeles Lakers
Wed Jan 15 2020,San Antonio Spurs,Miami Heat
Wed Jan 15 2020,Indiana Pacers,Minnesota Timberwolves
Wed Jan 15 2020,Toronto Raptors,Oklahoma City Thunder
Wed Jan 15 2020,Brooklyn Nets,Philadelphia 76ers
Wed Jan 15 2020,Dallas Mavericks,Sacramento Kings
Thu Jan 16 2020,Denver Nuggets,Golden State Warriors
Thu Jan 16 2020,Orlando Magic,Los Angeles Clippers
Thu Jan 16 2020,Boston Celtics,Milwaukee Bucks
Thu Jan 16 2020,Utah Jazz,New Orleans Pelicans
Thu Jan 16 2020,Phoenix Suns,New York Knicks
Fri Jan 17 2020,Portland Trail Blazers,Dallas Mavericks
Fri Jan 17 2020,Minnesota Timberwolves,Indiana Pacers
Fri Jan 17 2020,Cleveland Cavaliers,Memphis Grizzlies
Fri Jan 17 2020,Miami Heat,Oklahoma City Thunder
Fri Jan 17 2020,Chicago Bulls,Philadelphia 76ers
Fri Jan 17 2020,Atlanta Hawks,San Antonio Spurs
Fri Jan 17 2020,Washington Wizards,Toronto Raptors
Sat Jan 18 2020,Detroit Pistons,Atlanta Hawks
Sat Jan 18 2020,Phoenix Suns,Boston Celtics
Sat Jan 18 2020,Milwaukee Bucks,Brooklyn Nets
Sat Jan 18 2020,Cleveland Cavaliers,Chicago Bulls
Sat Jan 18 2020,Orlando Magic,Golden State Warriors
Sat Jan 18 2020,Los Angeles Lakers,Houston Rockets
Sat Jan 18 2020,Toronto Raptors,Minnesota Timberwolves
Sat Jan 18 2020,Los Angeles Clippers,New Orleans Pelicans
Sat Jan 18 2020,Philadelphia 76ers,New York Knicks
Sat Jan 18 2020,Portland Trail Blazers,Oklahoma City Thunder
Sat Jan 18 2020,Sacramento Kings,Utah Jazz
Sun Jan 19 2020,Indiana Pacers,Denver Nuggets
Sun Jan 19 2020,Miami Heat,San Antonio Spurs
Mon Jan 20 2020,Toronto Raptors,Atlanta Hawks
Mon Jan 20 2020,Los Angeles Lakers,Boston Celtics
Mon Jan 20 2020,Philadelphia 76ers,Brooklyn Nets
Mon Jan 20 2020,Orlando Magic,Charlotte Hornets
Mon Jan 20 2020,New York Knicks,Cleveland Cavaliers
Mon Jan 20 2020,Oklahoma City Thunder,Houston Rockets
Mon Jan 20 2020,New Orleans Pelicans,Memphis Grizzlies
Mon Jan 20 2020,Sacramento Kings,Miami Heat
Mon Jan 20 2020,Chicago Bulls,Milwaukee Bucks
Mon Jan 20 2020,Denver Nuggets,Minnesota Timberwolves
Mon Jan 20 2020,San Antonio Spurs,Phoenix Suns
Mon Jan 20 2020,Golden State Warriors,Portland Trail Blazers
Mon Jan 20 2020,Indiana Pacers,Utah Jazz
Mon Jan 20 2020,Detroit Pistons,Washington Wizards
Tue Jan 21 2020,Los Angeles Clippers,Dallas Mavericks
Wed Jan 22 2020,Los Angeles Clippers,Atlanta Hawks
Wed Jan 22 2020,Memphis Grizzlies,Boston Celtics
Wed Jan 22 2020,Minnesota Timberwolves,Chicago Bulls
Wed Jan 22 2020,Sacramento Kings,Detroit Pistons
Wed Jan 22 2020,Utah Jazz,Golden State Warriors
Wed Jan 22 2020,Denver Nuggets,Houston Rockets
Wed Jan 22 2020,Washington Wizards,Miami Heat
Wed Jan 22 2020,San Antonio Spurs,New Orleans Pelicans
Wed Jan 22 2020,Los Angeles Lakers,New York Knicks
Wed Jan 22 2020,Oklahoma City Thunder,Orlando Magic
Wed Jan 22 2020,Indiana Pacers,Phoenix Suns
Wed Jan 22 2020,Philadelphia 76ers,Toronto Raptors
Thu Jan 23 2020,Los Angeles Lakers,Brooklyn Nets
Thu Jan 23 2020,Washington Wizards,Cleveland Cavaliers
Thu Jan 23 2020,Dallas Mavericks,Portland Trail Blazers
Fri Jan 24 2020,Sacramento Kings,Chicago Bulls
Fri Jan 24 2020,Milwaukee Bucks,Charlotte Hornets
Fri Jan 24 2020,Memphis Grizzlies,Detroit Pistons
Fri Jan 24 2020,Indiana Pacers,Golden State Warriors
Fri Jan 24 2020,Los Angeles Clippers,Miami Heat
Fri Jan 24 2020,Houston Rockets,Minnesota Timberwolves
Fri Jan 24 2020,Denver Nuggets,New Orleans Pelicans
Fri Jan 24 2020,Toronto Raptors,New York Knicks
Fri Jan 24 2020,Atlanta Hawks,Oklahoma City Thunder
Fri Jan 24 2020,Boston Celtics,Orlando Magic
Fri Jan 24 2020,Phoenix Suns,San Antonio Spurs
Sat Jan 25 2020,Chicago Bulls,Cleveland Cavaliers
Sat Jan 25 2020,Brooklyn Nets,Detroit Pistons
Sat Jan 25 2020,Oklahoma City Thunder,Minnesota Timberwolves
Sat Jan 25 2020,Los Angeles Lakers,Philadelphia 76ers
Sat Jan 25 2020,Dallas Mavericks,Utah Jazz
Sun Jan 26 2020,Washington Wizards,Atlanta Hawks
Sun Jan 26 2020,Houston Rockets,Denver Nuggets
Sun Jan 26 2020,Phoenix Suns,Memphis Grizzlies
Sun Jan 26 2020,Boston Celtics,New Orleans Pelicans
Sun Jan 26 2020,Brooklyn Nets,New York Knicks
Sun Jan 26 2020,Los Angeles Clippers,Orlando Magic
Sun Jan 26 2020,Indiana Pacers,Portland Trail Blazers
Sun Jan 26 2020,Toronto Raptors,San Antonio Spurs
Mon Jan 27 2020,San Antonio Spurs,Chicago Bulls
Mon Jan 27 2020,Cleveland Cavaliers,Detroit Pistons
Mon Jan 27 2020,Orlando Magic,Miami Heat
Mon Jan 27 2020,Sacramento Kings,Minnesota Timberwolves
Mon Jan 27 2020,Dallas Mavericks,Oklahoma City Thunder
Mon Jan 27 2020,Houston Rockets,Utah Jazz
Tue Jan 28 2020,New York Knicks,Charlotte Hornets
Tue Jan 28 2020,New Orleans Pelicans,Cleveland Cavaliers
Tue Jan 28 2020,Phoenix Suns,Dallas Mavericks
Tue Jan 28 2020,Los Angeles Clippers,Los Angeles Lakers
Tue Jan 28 2020,Denver Nuggets,Memphis Grizzlies
Tue Jan 28 2020,Boston Celtics,Miami Heat
Tue Jan 28 2020,Washington Wizards,Milwaukee Bucks
Tue Jan 28 2020,Golden State Warriors,Philadelphia 76ers
Tue Jan 28 2020,Atlanta Hawks,Toronto Raptors
Wed Jan 29 2020,Detroit Pistons,Brooklyn Nets
Wed Jan 29 2020,Chicago Bulls,Indiana Pacers
Wed Jan 29 2020,Memphis Grizzlies,New York Knicks
Wed Jan 29 2020,Houston Rockets,Portland Trail Blazers
Wed Jan 29 2020,Oklahoma City Thunder,Sacramento Kings
Wed Jan 29 2020,Utah Jazz,San Antonio Spurs
Thu Jan 30 2020,Philadelphia 76ers,Atlanta Hawks
Thu Jan 30 2020,Golden State Warriors,Boston Celtics
Thu Jan 30 2020,Toronto Raptors,Cleveland Cavaliers
Thu Jan 30 2020,Utah Jazz,Denver Nuggets
Thu Jan 30 2020,Sacramento Kings,Los Angeles Clippers
Thu Jan 30 2020,Charlotte Hornets,Washington Wizards
Fri Jan 31 2020,Chicago Bulls,Brooklyn Nets
Fri Jan 31 2020,Toronto Raptors,Detroit Pistons
Fri Jan 31 2020,Dallas Mavericks,Houston Rockets
Fri Jan 31 2020,Portland Trail Blazers,Los Angeles Lakers
Fri Jan 31 2020,Denver Nuggets,Milwaukee Bucks
Fri Jan 31 2020,Memphis Grizzlies,New Orleans Pelicans
Fri Jan 31 2020,Oklahoma City Thunder,Phoenix Suns
Sat Feb 1 2020,Philadelphia 76ers,Boston Celtics
Sat Feb 1 2020,Golden State Warriors,Cleveland Cavaliers
Sat Feb 1 2020,Atlanta Hawks,Dallas Mavericks
Sat Feb 1 2020,New York Knicks,Indiana Pacers
Sat Feb 1 2020,Minnesota Timberwolves,Los Angeles Clippers
Sat Feb 1 2020,Miami Heat,Orlando Magic
Sat Feb 1 2020,Utah Jazz,Portland Trail Blazers
Sat Feb 1 2020,Los Angeles Lakers,Sacramento Kings
Sat Feb 1 2020,Charlotte Hornets,San Antonio Spurs
Sat Feb 1 2020,Brooklyn Nets,Washington Wizards
Sun Feb 2 2020,Denver Nuggets,Detroit Pistons
Sun Feb 2 2020,New Orleans Pelicans,Houston Rockets
Sun Feb 2 2020,Phoenix Suns,Milwaukee Bucks
Sun Feb 2 2020,Chicago Bulls,Toronto Raptors
Mon Feb 3 2020,Boston Celtics,Atlanta Hawks
Mon Feb 3 2020,Phoenix Suns,Brooklyn Nets
Mon Feb 3 2020,Orlando Magic,Charlotte Hornets
Mon Feb 3 2020,New York Knicks,Cleveland Cavaliers
Mon Feb 3 2020,Dallas Mavericks,Indiana Pacers
Mon Feb 3 2020,San Antonio Spurs,Los Angeles Clippers
Mon Feb 3 2020,Detroit Pistons,Memphis Grizzlies
Mon Feb 3 2020,Philadelphia 76ers,Miami Heat
Mon Feb 3 2020,Minnesota Timberwolves,Sacramento Kings
Mon Feb 3 2020,Golden State Warriors,Washington Wizards
Tue Feb 4 2020,Portland Trail Blazers,Denver Nuggets
Tue Feb 4 2020,Charlotte Hornets,Houston Rockets
Tue Feb 4 2020,San Antonio Spurs,Los Angeles Lakers
Tue Feb 4 2020,Milwaukee Bucks,New Orleans Pelicans
Wed Feb 5 2020,Orlando Magic,Boston Celtics
Wed Feb 5 2020,Golden State Warriors,Brooklyn Nets
Wed Feb 5 2020,Memphis Grizzlies,Dallas Mavericks
Wed Feb 5 2020,Phoenix Suns,Detroit Pistons
Wed Feb 5 2020,Miami Heat,Los Angeles Clippers
Wed Feb 5 2020,Atlanta Hawks,Minnesota Timberwolves
Wed Feb 5 2020,Cleveland Cavaliers,Oklahoma City Thunder
Wed Feb 5 2020,Indiana Pacers,Toronto Raptors
Wed Feb 5 2020,Denver Nuggets,Utah Jazz
Thu Feb 6 2020,New Orleans Pelicans,Chicago Bulls
Thu Feb 6 2020,Houston Rockets,Los Angeles Lakers
Thu Feb 6 2020,Philadelphia 76ers,Milwaukee Bucks
Thu Feb 6 2020,Orlando Magic,New York Knicks
Thu Feb 6 2020,San Antonio Spurs,Portland Trail Blazers
Fri Feb 7 2020,Atlanta Hawks,Boston Celtics
Fri Feb 7 2020,Toronto Raptors,Indiana Pacers
Fri Feb 7 2020,Detroit Pistons,Oklahoma City Thunder
Fri Feb 7 2020,Memphis Grizzlies,Philadelphia 76ers
Fri Feb 7 2020,Houston Rockets,Phoenix Suns
Fri Feb 7 2020,Miami Heat,Sacramento Kings
Fri Feb 7 2020,Portland Trail Blazers,Utah Jazz
Fri Feb 7 2020,Dallas Mavericks,Washington Wizards
Sat Feb 8 2020,Dallas Mavericks,Charlotte Hornets
Sat Feb 8 2020,New York Knicks,Detroit Pistons
Sat Feb 8 2020,Los Angeles Lakers,Golden State Warriors
Sat Feb 8 2020,New Orleans Pelicans,Indiana Pacers
Sat Feb 8 2020,Los Angeles Clippers,Minnesota Timberwolves
Sat Feb 8 2020,Milwaukee Bucks,Orlando Magic
Sat Feb 8 2020,Denver Nuggets,Phoenix Suns
Sat Feb 8 2020,San Antonio Spurs,Sacramento Kings
Sat Feb 8 2020,Brooklyn Nets,Toronto Raptors
Sun Feb 9 2020,New York Knicks,Atlanta Hawks
Sun Feb 9 2020,Los Angeles Clippers,Cleveland Cavaliers
Sun Feb 9 2020,Utah Jazz,Houston Rockets
Sun Feb 9 2020,Boston Celtics,Oklahoma City Thunder
Sun Feb 9 2020,Chicago Bulls,Philadelphia 76ers
Sun Feb 9 2020,Miami Heat,Portland Trail Blazers
Sun Feb 9 2020,Memphis Grizzlies,Washington Wizards
Mon Feb 10 2020,Utah Jazz,Dallas Mavericks
Mon Feb 10 2020,San Antonio Spurs,Denver Nuggets
Mon Feb 10 2020,Charlotte Hornets,Detroit Pistons
Mon Feb 10 2020,Miami Heat,Golden State Warriors
Mon Feb 10 2020,Brooklyn Nets,Indiana Pacers
Mon Feb 10 2020,Phoenix Suns,Los Angeles Lakers
Mon Feb 10 2020,Sacramento Kings,Milwaukee Bucks
Mon Feb 10 2020,Atlanta Hawks,Orlando Magic
Mon Feb 10 2020,Minnesota Timberwolves,Toronto Raptors
Tue Feb 11 2020,Boston Celtics,Houston Rockets
Tue Feb 11 2020,Portland Trail Blazers,New Orleans Pelicans
Tue Feb 11 2020,San Antonio Spurs,Oklahoma City Thunder
Tue Feb 11 2020,Los Angeles Clippers,Philadelphia 76ers
Tue Feb 11 2020,Chicago Bulls,Washington Wizards
Wed Feb 12 2020,Toronto Raptors,Brooklyn Nets
Wed Feb 12 2020,Atlanta Hawks,Cleveland Cavaliers
Wed Feb 12 2020,Sacramento Kings,Dallas Mavericks
Wed Feb 12 2020,Los Angeles Lakers,Denver Nuggets
Wed Feb 12 2020,Milwaukee Bucks,Indiana Pacers
Wed Feb 12 2020,Portland Trail Blazers,Memphis Grizzlies
Wed Feb 12 2020,Charlotte Hornets,Minnesota Timberwolves
Wed Feb 12 2020,Washington Wizards,New York Knicks
Wed Feb 12 2020,Detroit Pistons,Orlando Magic
Wed Feb 12 2020,Golden State Warriors,Phoenix Suns
Wed Feb 12 2020,Miami Heat,Utah Jazz
Thu Feb 13 2020,Los Angeles Clippers,Boston Celtics
Thu Feb 13 2020,Oklahoma City Thunder,New Orleans Pelicans
Thu Feb 20 2020,Miami Heat,Atlanta Hawks
Thu Feb 20 2020,Charlotte Hornets,Chicago Bulls
Thu Feb 20 2020,Milwaukee Bucks,Detroit Pistons
Thu Feb 20 2020,Houston Rockets,Golden State Warriors
Thu Feb 20 2020,Brooklyn Nets,Philadelphia 76ers
Thu Feb 20 2020,Memphis Grizzlies,Sacramento Kings
Fri Feb 21 2020,Memphis Grizzlies,Los Angeles Lakers
Fri Feb 21 2020,Boston Celtics,Minnesota Timberwolves
Fri Feb 21 2020,Indiana Pacers,New York Knicks
Fri Feb 21 2020,Denver Nuggets,Oklahoma City Thunder
Fri Feb 21 2020,Dallas Mavericks,Orlando Magic
Fri Feb 21 2020,New Orleans Pelicans,Portland Trail Blazers
Fri Feb 21 2020,Phoenix Suns,Toronto Raptors
Fri Feb 21 2020,San Antonio Spurs,Utah Jazz
Fri Feb 21 2020,Cleveland Cavaliers,Washington Wizards
Sat Feb 22 2020,Dallas Mavericks,Atlanta Hawks
Sat Feb 22 2020,Phoenix Suns,Chicago Bulls
Sat Feb 22 2020,Brooklyn Nets,Charlotte Hornets
Sat Feb 22 2020,Sacramento Kings,Los Angeles Clippers
Sat Feb 22 2020,Cleveland Cavaliers,Miami Heat
Sat Feb 22 2020,Philadelphia 76ers,Milwaukee Bucks
Sat Feb 22 2020,Houston Rockets,Utah Jazz
Sun Feb 23 2020,Washington Wizards,Chicago Bulls
Sun Feb 23 2020,Minnesota Timberwolves,Denver Nuggets
Sun Feb 23 2020,New Orleans Pelicans,Golden State Warriors
Sun Feb 23 2020,Boston Celtics,Los Angeles Lakers
Sun Feb 23 2020,San Antonio Spurs,Oklahoma City Thunder
Sun Feb 23 2020,Detroit Pistons,Portland Trail Blazers
Sun Feb 23 2020,Indiana Pacers,Toronto Raptors
Mon Feb 24 2020,Orlando Magic,Brooklyn Nets
Mon Feb 24 2020,Miami Heat,Cleveland Cavaliers
Mon Feb 24 2020,Minnesota Timberwolves,Dallas Mavericks
Mon Feb 24 2020,New York Knicks,Houston Rockets
Mon Feb 24 2020,Memphis Grizzlies,Los Angeles Clippers
Mon Feb 24 2020,Atlanta Hawks,Philadelphia 76ers
Mon Feb 24 2020,Phoenix Suns,Utah Jazz
Mon Feb 24 2020,Milwaukee Bucks,Washington Wizards
Tue Feb 25 2020,Oklahoma City Thunder,Chicago Bulls
Tue Feb 25 2020,Detroit Pistons,Denver Nuggets
Tue Feb 25 2020,Sacramento Kings,Golden State Warriors
Tue Feb 25 2020,Charlotte Hornets,Indiana Pacers
Tue Feb 25 2020,New Orleans Pelicans,Los Angeles Lakers
Tue Feb 25 2020,Boston Celtics,Portland Trail Blazers
Tue Feb 25 2020,Milwaukee Bucks,Toronto Raptors
Wed Feb 26 2020,Orlando Magic,Atlanta Hawks
Wed Feb 26 2020,New York Knicks,Charlotte Hornets
Wed Feb 26 2020,Philadelphia 76ers,Cleveland Cavaliers
Wed Feb 26 2020,Memphis Grizzlies,Houston Rockets
Wed Feb 26 2020,Minnesota Timberwolves,Miami Heat
Wed Feb 26 2020,Los Angeles Clippers,Phoenix Suns
Wed Feb 26 2020,Dallas Mavericks,San Antonio Spurs
Wed Feb 26 2020,Boston Celtics,Utah Jazz
Wed Feb 26 2020,Brooklyn Nets,Washington Wizards
Thu Feb 27 2020,Los Angeles Lakers,Golden State Warriors
Thu Feb 27 2020,Portland Trail Blazers,Indiana Pacers
Thu Feb 27 2020,Sacramento Kings,Oklahoma City Thunder
Thu Feb 27 2020,New York Knicks,Philadelphia 76ers
Fri Feb 28 2020,Brooklyn Nets,Atlanta Hawks
Fri Feb 28 2020,Denver Nuggets,Los Angeles Clippers
Fri Feb 28 2020,Sacramento Kings,Memphis Grizzlies
Fri Feb 28 2020,Dallas Mavericks,Miami Heat
Fri Feb 28 2020,Oklahoma City Thunder,Milwaukee Bucks
Fri Feb 28 2020,Cleveland Cavaliers,New Orleans Pelicans
Fri Feb 28 2020,Minnesota Timberwolves,Orlando Magic
Fri Feb 28 2020,Detroit Pistons,Phoenix Suns
Fri Feb 28 2020,Charlotte Hornets,Toronto Raptors
Fri Feb 28 2020,Washington Wizards,Utah Jazz
Sat Feb 29 2020,Portland Trail Blazers,Atlanta Hawks
Sat Feb 29 2020,Houston Rockets,Boston Celtics
Sat Feb 29 2020,Indiana Pacers,Cleveland Cavaliers
Sat Feb 29 2020,Los Angeles Lakers,Memphis Grizzlies
Sat Feb 29 2020,Brooklyn Nets,Miami Heat
Sat Feb 29 2020,Chicago Bulls,New York Knicks
